run,rnn_units,step,batch_size,learning_rate,dropout,test_loss,train_loss,training_loss,ratio,error_neg,error_pos
46,-,-,-,-,-,0.0003338336246088147,0.0018673849990591407,0.0018673849990591407,0.17877,-0.01538571,0.01269263
47,-,-,-,-,-,0.00045358159695751965,0.0034614254254847765,0.0034614254254847765,0.13104,-0.01295865,0.01551058
48,-,-,-,-,-,0.00041297468123957515,0.0020851599983870983,0.0020851599983870983,0.19805,-0.02717689,0.02141115
49,-,-,-,-,-,0.00038578594103455544,0.003506612265482545,0.003506612265482545,0.11002,-0.02696727,0.02127028
50,-,-,-,-,-,0.0011141159338876605,0.0019289074698463082,0.0019289074698463082,0.57759,-0.04180387,0.02337979
51,-,-,-,-,-,0.0005698371678590775,0.003096930682659149,0.003096930682659149,0.184,-0.02465879,0.02638075
52,-,-,-,-,-,0.00032475939951837063,0.001770661910995841,0.001770661910995841,0.18341,-0.0291534,0.02339543
53,-,-,-,-,-,0.0005820996593683958,0.002890137257054448,0.002890137257054448,0.20141,-0.02504086,0.02751739
54,-,-,-,-,-,0.00045645987847819924,0.002363902982324362,0.002363902982324362,0.1931,-0.02798322,0.02224048
55,-,-,-,-,-,0.00046580296475440264,0.003954566083848476,0.003954566083848476,0.11779,-0.02548409,0.02052779
56,-,-,-,-,-,0.0005726555828005075,0.002112308517098427,0.002112308517098427,0.2711,-0.02425121,0.02549508
57,-,-,-,-,-,0.00040944668580777943,0.0035888878628611565,0.0035888878628611565,0.11409,-0.02758861,0.02144536
58,-,-,-,-,-,0.0018028834601864219,0.0020289875101298094,0.0020289875101298094,0.88856,-0.02191998,0.04438499
59,-,-,-,-,-,0.00031267505255527794,0.003221744205802679,0.003221744205802679,0.09705,-0.02777819,0.02198508
60,-,-,-,-,-,0.0004251152276992798,0.0020950702019035816,0.0020950702019035816,0.20291,-0.03732447,0.03091537
61,-,-,-,-,-,0.0017539507243782282,0.003770588431507349,0.003770588431507349,0.46517,-0.03261352,0.04850768
62,-,-,-,-,-,0.00042278834735043347,0.0018565773498266935,0.0018565773498266935,0.22772,-0.03625342,0.03149804
63,-,-,-,-,-,0.00037790078204125166,0.003072454361245036,0.003072454361245036,0.123,-0.03680607,0.03078537
64,-,-,-,-,-,0.00032426510006189346,0.0018211179412901402,0.0018211179412901402,0.17806,-0.03766625,0.03138078
65,-,-,-,-,-,0.00047158985398709774,0.0028314203955233097,0.0028314203955233097,0.16656,-0.04010675,0.03035361
66,-,-,-,-,-,0.0004929784336127341,0.0024029638152569532,0.0024029638152569532,0.20515,-0.03649016,0.03270179
67,-,-,-,-,-,0.000823174137622118,0.003943647723644972,0.003943647723644972,0.20873,-0.04328137,0.0321223
68,-,-,-,-,-,0.00036336827906779945,0.0021110009402036667,0.0021110009402036667,0.17213,-0.03674198,0.03040568
69,-,-,-,-,-,0.0004089460417162627,0.003940908703953028,0.003940908703953028,0.10377,-0.0366469,0.02910273
70,-,-,-,-,-,0.0005406085983850062,0.002052529715001583,0.002052529715001583,0.26339,-0.04126601,0.03444426
71,-,-,-,-,-,0.0004448506806511432,0.00303174601867795,0.00303174601867795,0.14673,-0.03527055,0.03083212
