average-price,timestamp
45089.8366975322,2022-04-01T12:05:00Z
45079.5,2022-04-01T12:05:00Z
45109.3020841196,2022-04-01T12:06:00Z
45114.6,2022-04-01T12:06:00Z
45112,2022-04-01T12:06:00Z
45104.3759028813,2022-04-01T12:07:00Z
45111.6950771492,2022-04-01T12:07:00Z
45101.048925657,2022-04-01T12:07:00Z
45151.6677708453,2022-04-01T12:08:00Z
45144.5,2022-04-01T12:08:00Z
45136,2022-04-01T12:08:00Z
45131.5457670639,2022-04-01T12:09:00Z
45144.4,2022-04-01T12:09:00Z
45135,2022-04-01T12:09:00Z
45100.3558906104,2022-04-01T12:10:00Z
45098.4,2022-04-01T12:10:00Z
45102.0405433076,2022-04-01T12:10:00Z
45076.8282748049,2022-04-01T12:11:00Z
45098.3124485726,2022-04-01T12:11:00Z
45041.572449128,2022-04-01T12:12:00Z
45069.7432440614,2022-04-01T12:12:00Z
45021,2022-04-01T12:12:00Z
44970.256129673,2022-04-01T12:13:00Z
44977.05,2022-04-01T12:13:00Z
44939.0512749599,2022-04-01T12:13:00Z
44997.0274974102,2022-04-01T12:14:00Z
45022.8024539877,2022-04-01T12:14:00Z
44994,2022-04-01T12:14:00Z
45003.8283895003,2022-04-01T12:15:00Z
45019.6695035461,2022-04-01T12:15:00Z
44951.3757175584,2022-04-01T12:16:00Z
44980.45,2022-04-01T12:16:00Z
44956.0419162995,2022-04-01T12:17:00Z
44965.4622770749,2022-04-01T12:18:00Z
44990.2,2022-04-01T12:18:00Z
44983.4639667066,2022-04-01T12:19:00Z
44965.1002043803,2022-04-01T12:20:00Z
44981.6,2022-04-01T12:20:00Z
44903.5846326446,2022-04-01T12:21:00Z
44922.5820216529,2022-04-01T12:21:00Z
44915,2022-04-01T12:21:00Z
44881.8056285036,2022-04-01T12:22:00Z
44907.2007748104,2022-04-01T12:22:00Z
44885.5678,2022-04-01T12:22:00Z
44867.7654883966,2022-04-01T12:23:00Z
44873.272379969,2022-04-01T12:23:00Z
44804.7356668678,2022-04-01T12:23:00Z
44776.5321972752,2022-04-01T12:24:00Z
44735.659771987,2022-04-01T12:24:00Z
44793.5919642857,2022-04-01T12:24:00Z
44761.745846253,2022-04-01T12:25:00Z
44705.5190466363,2022-04-01T12:25:00Z
44772.1177199342,2022-04-01T12:26:00Z
44786.404358204,2022-04-01T12:27:00Z
44807.53259362,2022-04-01T12:27:00Z
44829.3333478774,2022-04-01T12:28:00Z
44868.7516304404,2022-04-01T12:29:00Z
44856,2022-04-01T12:29:00Z
44909.183288495,2022-04-01T12:30:00Z
44929.1347062795,2022-04-01T12:30:00Z
45014.4595989703,2022-04-01T12:31:00Z
45088.5305470793,2022-04-01T12:31:00Z
44953.7451612903,2022-04-01T12:31:00Z
44846.1808710357,2022-04-01T12:32:00Z
44792.8102188328,2022-04-01T12:32:00Z
44898.4152574737,2022-04-01T12:33:00Z
44806.3321965479,2022-04-01T12:33:00Z
44969.2434714385,2022-04-01T12:34:00Z
44987,2022-04-01T12:34:00Z
45118.047677889,2022-04-01T12:35:00Z
45195.5,2022-04-01T12:35:00Z
45166.8990498812,2022-04-01T12:35:00Z
45332.4229717442,2022-04-01T12:36:00Z
45408.1105688171,2022-04-01T12:36:00Z
45318.5517912059,2022-04-01T12:36:00Z
45360.8057769474,2022-04-01T12:37:00Z
45400.8167330677,2022-04-01T12:37:00Z
45419.6979273927,2022-04-01T12:37:00Z
45272.6397430224,2022-04-01T12:38:00Z
45282.8619565217,2022-04-01T12:38:00Z
45266.8132820019,2022-04-01T12:38:00Z
