average-price,timestamp
173.779993,2022-04-01T15:06:00Z
173.698274,2022-04-01T15:07:00Z
173.781783,2022-04-01T15:08:00Z
173.810812,2022-04-01T15:09:00Z
173.741173,2022-04-01T15:10:00Z
173.655713,2022-04-01T15:11:00Z
173.573713,2022-04-01T15:12:00Z
173.4121,2022-04-01T15:13:00Z
173.308457,2022-04-01T15:14:00Z
173.211881,2022-04-01T15:15:00Z
173.269055,2022-04-01T15:16:00Z
173.223487,2022-04-01T15:17:00Z
173.132897,2022-04-01T15:18:00Z
173.082571,2022-04-01T15:19:00Z
173.144951,2022-04-01T15:20:00Z
173.21294,2022-04-01T15:21:00Z
173.195381,2022-04-01T15:22:00Z
173.034516,2022-04-01T15:23:00Z
173.022742,2022-04-01T15:24:00Z
173.001193,2022-04-01T15:25:00Z
172.927468,2022-04-01T15:26:00Z
172.840808,2022-04-01T15:27:00Z
172.896767,2022-04-01T15:28:00Z
172.947159,2022-04-01T15:29:00Z
172.868589,2022-04-01T15:30:00Z
172.843259,2022-04-01T15:31:00Z
172.788864,2022-04-01T15:32:00Z
172.742752,2022-04-01T15:33:00Z
172.75248,2022-04-01T15:34:00Z
172.517857,2022-04-01T15:35:00Z
172.405077,2022-04-01T15:36:00Z
172.288716,2022-04-01T15:37:00Z
172.320939,2022-04-01T15:38:00Z
172.369434,2022-04-01T15:39:00Z
172.362482,2022-04-01T15:40:00Z
172.459432,2022-04-01T15:41:00Z
172.404568,2022-04-01T15:42:00Z
172.333649,2022-04-01T15:43:00Z
172.347187,2022-04-01T15:44:00Z
172.277054,2022-04-01T15:45:00Z
172.313139,2022-04-01T15:46:00Z
172.467356,2022-04-01T15:47:00Z
172.442543,2022-04-01T15:48:00Z
172.365798,2022-04-01T15:49:00Z
172.313536,2022-04-01T15:50:00Z
172.309666,2022-04-01T15:51:00Z
172.314194,2022-04-01T15:52:00Z
172.393518,2022-04-01T15:53:00Z
172.430611,2022-04-01T15:54:00Z
172.314132,2022-04-01T15:55:00Z
172.144478,2022-04-01T15:56:00Z
172.011987,2022-04-01T15:57:00Z
172.117952,2022-04-01T15:58:00Z
172.129185,2022-04-01T15:59:00Z
172.167465,2022-04-01T16:00:00Z
172.155427,2022-04-01T16:01:00Z
172.196347,2022-04-01T16:02:00Z
172.211486,2022-04-01T16:03:00Z
172.195419,2022-04-01T16:04:00Z
172.139097,2022-04-01T16:05:00Z
172.183217,2022-04-01T16:06:00Z
172.225036,2022-04-01T16:07:00Z
172.286386,2022-04-01T16:08:00Z
172.425495,2022-04-01T16:09:00Z
172.448996,2022-04-01T16:10:00Z
172.349337,2022-04-01T16:11:00Z
172.302346,2022-04-01T16:12:00Z
172.326658,2022-04-01T16:13:00Z
172.456606,2022-04-01T16:14:00Z
172.496031,2022-04-01T16:15:00Z
172.432021,2022-04-01T16:16:00Z
172.411942,2022-04-01T16:17:00Z
172.398256,2022-04-01T16:18:00Z
172.40237,2022-04-01T16:19:00Z
172.344295,2022-04-01T16:20:00Z
172.422883,2022-04-01T16:21:00Z
172.488433,2022-04-01T16:22:00Z
172.594227,2022-04-01T16:23:00Z
172.619785,2022-04-01T16:24:00Z
172.65873,2022-04-01T16:25:00Z
172.619142,2022-04-01T16:26:00Z
172.688527,2022-04-01T16:27:00Z
172.661096,2022-04-01T16:28:00Z
172.77688,2022-04-01T16:29:00Z
172.720138,2022-04-01T16:30:00Z
172.612593,2022-04-01T16:31:00Z
172.457562,2022-04-01T16:32:00Z
172.486671,2022-04-01T16:33:00Z
